Day, Time, Open Price, High Price, Low Price, Close Price
2020-07-08, 2020-07-08T00:00:00, 4044.8, 4046.8, 4044.8, 4045.3
2020-07-08, 2020-07-08T00:00:01, 4045.8, 4045.8, 4044.1, 4044.1
2020-07-08, 2020-07-08T00:00:02, 4043.7, 4044.1, 4043.1, 4044.1
2020-07-08, 2020-07-08T00:00:04, None, None, None, None
2020-07-08, 2020-07-08T00:00:05, 4044.4, 4044.4, 4044.4, 4044.4
2020-07-08, 2020-07-08T00:00:07, 4044.1, 4044.1, 4043.7, 4043.7
2020-07-08, 2020-07-08T00:00:08, 4043.1, 4043.4, 4043.1, 4043.4
2020-07-08, 2020-07-08T00:00:09, None, None, None, None
2020-07-08, 2020-07-08T00:00:10, 4042.8, 4042.8, 4042.1, 4042.1
2020-07-08, 2020-07-08T00:00:11, 4041.7, 4041.7, 4039.4, 4041.1
2020-07-08, 2020-07-08T00:00:12, 4040.9, 4041.1, 4039.1, 4040.1
2020-07-08, 2020-07-08T00:00:13, 4039.9, 4040.4, 4039.9, 4040.1
2020-07-08, 2020-07-08T00:00:14, 4039.9, 4040.1, 4038.4, 4039.1
2020-07-08, 2020-07-08T00:00:15, 4039.4, 4039.4, 4039.1, 4039.4
2020-07-08, 2020-07-08T00:00:16, None, None, None, None
2020-07-08, 2020-07-08T00:00:17, 4039.8, 4039.8, 4039.4, 4039.4
2020-07-08, 2020-07-08T00:00:18, 4039.1, 4040.1, 4039.1, 4040.1
2020-07-08, 2020-07-08T00:00:19, 4040.4, 4040.4, 4039.4, 4039.4
2020-07-08, 2020-07-08T00:00:20, 4039.1, 4039.1, 4039.1, 4039.1
2020-07-08, 2020-07-08T00:00:21, 4038.4, 4039.1, 4038.4, 4039.1
2020-07-08, 2020-07-08T00:00:22, 4038.9, 4039.1, 4038.9, 4039.1
2020-07-08, 2020-07-08T00:00:23, None, None, None, None
2020-07-08, 2020-07-08T00:00:24, 4038.9, 4039.1, 4038.9, 4039.1
2020-07-08, 2020-07-08T00:00:26, None, None, None, None
2020-07-08, 2020-07-08T00:00:27, None, None, None, None
2020-07-08, 2020-07-08T00:00:29, None, None, None, None
2020-07-08, 2020-07-08T00:00:32, 4039.4, 4039.4, 4039.4, 4039.4
2020-07-08, 2020-07-08T00:00:34, 4039.8, 4040.4, 4039.8, 4040.4
2020-07-08, 2020-07-08T00:00:35, None, None, None, None
2020-07-08, 2020-07-08T00:00:39, None, None, None, None
2020-07-08, 2020-07-08T00:00:40, 4039.4, 4039.4, 4037.4, 4037.9
2020-07-08, 2020-07-08T00:00:41, 4037.4, 4038.1, 4037.1, 4038.1
